experiment,backbone,variant,n_train,seed,fold,domain,kind,stage,component,mediator,head,lr,alpha,criterion,score,lower_is_better,selected,rank,n_candidates,tie_size,edge,at_grid_edge,margin,n_val_scored,n_val_kind,n_val_users,note
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,0.01,val_mse,0.7472708064063363,True,0,17,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,0.03162277660168379,val_mse,0.74704334628983,True,0,16,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,0.1,val_mse,0.7462270774545459,True,0,15,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,0.31622776601683794,val_mse,0.743748913740511,True,0,14,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,1.0,val_mse,0.7366255242395722,True,0,13,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,3.1622776601683795,val_mse,0.7192176459790648,True,0,11,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,10.0,val_mse,0.6891559156183298,True,0,9,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,31.622776601683793,val_mse,0.6567822828680159,True,0,7,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,100.0,val_mse,0.6348072378957003,True,0,4,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,316.22776601683796,val_mse,0.6250254836310354,True,0,2,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,1000.0,val_mse,0.6237393530820892,True,1,1,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,3162.2776601683795,val_mse,0.6274547212867935,True,0,3,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,10000.0,val_mse,0.6352506746551513,True,0,5,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,31622.776601683792,val_mse,0.6485475676763783,True,0,6,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,100000.0,val_mse,0.6691421429629388,True,0,8,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,316227.7660168379,val_mse,0.6980204665051996,True,0,10,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,emotion,,,1000000.0,val_mse,0.7307664169040285,True,0,12,17,1,,0,0.0012861305489462183,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,diagnostic,stage1,stage1_ridge,emotion,,,,mediator_width,7.0,,1,1,1,1,,0,,,,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,shuffled,,,0.01,val_mse,1.2362004708242014,True,0,17,17,1,,0,0.00022544034351879016,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,shuffled,,,0.03162277660168379,val_mse,1.2354089726054456,True,0,16,17,1,,0,0.00022544034351879016,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,shuffled,,,0.1,val_mse,1.2326193357778856,True,0,15,17,1,,0,0.00022544034351879016,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,shuffled,,,0.31622776601683794,val_mse,1.2244604128260514,True,0,14,17,1,,0,0.00022544034351879016,235.0,images,,
efficiency,Qwen3-VL 8B,C,100,1,0,art,selection,stage1,stage1_ridge,shuffled,,,1.0,val_mse,1.2008785329369116,True,0,13,17,1,,0,0.00022544034351879016,235.0,images,,
